Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
1,2.25904,2.574593,0.244896,3.560796,0.971065,1,6.693386,7.294241,6.775859,1.031018,1,8.242376
1,4.4430320922222215,2.9757406911111133,0.237463,3.8735690000000003,0.966822,3,6.322863,4.200354,1.160037,10.925502,2,9.84833
1,7.6234410000000015,1.582376,0.315214,3.5460269999999996,0.9852770000000001,2,6.216856,2.7721419999999997,8.089286,6.510399,1,7.365182000000001
1,5.342857,1.426692,0.200689,3.6934556644444423,0.9961639999999999,1,7.380250999999999,4.136386,6.8504137544444434,3.4069599999999998,2,7.744706
1,6.488599,1.815623,0.135108,2.859454,0.985726,1,7.3266800000000005,6.51711,7.4090050000000005,0.876959,1,6.0270480000000015
1,1.2079959999999998,2.99673,0.304475,3.6749419999999997,0.95657,2,2.582348,6.038009,6.669257000000001,0.308336,1,7.664159
1,4.4430320922222215,2.9757406911111133,0.17904,3.795615,0.984576,1,1.7741189999999998,5.144314,13.857241,9.553291,1,5.855501
1,4.501208,0.862326,0.2423443533333336,3.56596,0.951565,1,1.161605,5.936671,6.000543,4.860319273333335,1,10.752807
1,4.166824,2.623945,0.247518,4.616213,0.96739,3,2.551286,6.422511,7.327933,2.2008389999999998,1,7.674277
1,4.4430320922222215,1.628509,0.26544,3.1236740000000003,0.9758760000000001,2,6.069007,4.654407,16.880978,0.5334720000000001,1,7.591547999999999
2,9.987636,2.276841,0.14002,3.4970019999999997,0.989149,4,4.885348361111113,5.125625,8.695955,1.8639830000000002,2,6.753458999999999
1,4.357292,1.593221,0.23945,4.07043,0.9921909999999999,1,4.900146,6.023257,3.9016089999999997,4.862024,1,8.997675
1,3.9913540000000003,3.744363,0.301848,3.458478,0.997417,2,5.128831,5.341414,9.554689,1.289563,1,7.262202
1,5.007363,4.395524,0.07706299999999999,3.6902779999999997,0.977812912222223,2,10.68167,3.706603,6.564502,3.5355190000000003,1,9.195336
1,5.857189,2.9757406911111133,0.201229,2.68945,0.968891,2,5.830696,4.267874,9.103352000000001,5.413492,1,6.958772
1,4.180105,3.606558,0.11367200000000001,3.5965279999999997,0.965477,1,4.393669,3.8274980000000003,1.612835,2.252542,1,9.081227
1,4.915763,2.780132,0.23378400000000002,3.4170480000000003,0.9864209999999999,2,8.370916000000001,5.577826,13.100391,5.5051760000000005,2,7.336567999999999
1,6.091057,0.975878,0.29741599999999996,3.795228,0.98311,3,3.074183,4.799039,6.8504137544444434,4.860319273333335,1,9.292997
1,4.60536,1.9487,0.2423443533333336,3.527672,0.9620139999999999,1,6.6808380000000005,5.393436,4.400418,5.5212639999999995,1,7.624523
2,5.083915,2.780726,0.186329,4.02679,0.9765379999999999,2,4.885348361111113,5.180066020000009,7.6396320000000015,4.860319273333335,3,8.267767
1,4.734942,2.79398,0.275223,3.460461,0.9836309999999999,1,10.529903,4.209732,1.125679,6.638511,1,7.846779
1,5.743468,1.8102060000000002,0.345138,4.065511,0.96873,1,4.937614,5.038171,9.892545,1.500448,2,7.30435
1,5.2672989999999995,0.144616,0.312633,3.7463550000000003,0.974075,1,4.488685,4.863012,1.331373,4.860319273333335,2,9.022745
1,2.763191,2.9757406911111133,0.198696,3.5081239999999996,1.000508,2,4.885348361111113,3.2200159999999998,5.131872,4.687594,2,8.245212152222223
1,3.9692519999999996,4.407782,0.149788,3.506043,0.964036,3,7.713980999999999,4.865328,7.183836,2.5671880000000002,1,7.787244
1,4.483059,0.764,0.24153400000000005,3.6545400000000003,0.980305,1,0.5719609999999999,4.077448,3.9299190000000004,2.9625630000000003,1,6.268018
1,3.600858,2.871673,0.360727,3.722436,0.9617370000000001,1,4.885348361111113,5.180066020000009,1.589058,5.715555999999999,1,7.8612009999999986
1,5.046885,2.9757406911111133,0.2423443533333336,4.052791,0.970086,2,4.885348361111113,5.180066020000009,10.716786,9.620443,1,9.070106
1,8.620455999999999,4.731481,0.172406,3.6934556644444423,0.977812912222223,1,7.9249009999999975,4.993253,1.391575,4.1551599999999995,1,9.156350999999999
1,4.877577,2.9757406911111133,0.184613,3.0599790000000002,0.9884620000000001,1,9.653866,5.155542,1.1727299999999998,4.19592,1,8.535081
1,3.88225,5.7884379999999975,0.17795899999999998,4.176883999999999,0.972434,2,5.398077,4.883513,5.429061,5.666081,1,8.744589
1,3.717207,4.51935,0.14008099999999998,3.587271,0.971518,3,3.60109,7.3920119999999985,3.6896370000000003,0.532713,1,7.864215
1,1.9544650000000001,2.171461,0.3155,3.130275,0.9876510000000001,1,6.561411,5.345691,7.885434,0.9700030000000001,2,9.238707000000002
