,Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
0,250.02800200000001,2.25904,2.574593,0.244896,3.560796,0.971065,3.7124330000000003,6.693386,7.294241,6.775859,1.031018,5.300665,8.242376
1,678.888937,NA,NA,0.237463,3.8735690000000003,0.966822,15.396145,6.322863,4.200354,1.160037,10.925502,10.729830999999999,9.84833
2,277.568685,7.623441000000001,1.582376,0.315214,3.5460269999999996,0.9852770000000001,NA,6.216856,2.7721419999999997,8.089286,6.510399,6.584903999999999,7.365182000000001
3,220.862475,5.342857,1.426692,0.200689,NA,0.9961639999999999,0.837462,7.3802509999999995,4.136386,NA,3.4069599999999998,8.647871,7.744706
4,270.135897,6.488599,1.815623,0.135108,2.859454,0.985726,5.24785,7.3266800000000005,6.51711,7.4090050000000005,0.876959,4.583116,6.027048000000001
5,198.056649,1.2079959999999998,2.99673,0.304475,3.6749419999999997,0.95657,10.322279,2.582348,6.038009,6.669257000000001,0.308336,3.207075,7.664159
6,405.524114,NA,NA,0.17904,3.795615,0.984576,4.328526,1.7741189999999998,5.144314,13.857241,9.553291,5.962458,5.855501
7,175.32718500000001,4.501208,0.862326,NA,3.56596,0.951565,3.191665,1.161605,5.936671,6.000543,NA,0.46943500000000005,10.752807
8,441.99334500000003,4.166824,2.623945,0.247518,4.616213,0.96739,13.590233,2.551286,6.422511,7.327933,2.2008389999999998,6.91973,7.674277
9,527.923377,NA,1.628509,0.26544,3.1236740000000003,0.9758760000000001,NA,6.069007,4.654407,16.880978,0.5334720000000001,4.41484,7.5915479999999995
10,913.0459710000001,9.987636,2.276841,0.14002,3.4970019999999997,0.989149,17.612249,NA,5.125625,8.695955,1.8639830000000002,8.700984,6.753458999999999
11,110.77433899999998,4.357292,1.593221,0.23945,4.07043,0.9921909999999999,1.363276,4.900146,6.023257,3.9016089999999997,4.862024,3.596967,8.997675
12,217.633723,3.9913540000000003,3.744363,0.301848,3.458478,0.997417,8.910606,5.128831,5.341414,9.554689,1.289563,5.120168,7.262202
13,410.39687299999997,5.007363,4.395524,0.07706299999999999,3.6902779999999997,NA,8.070452000000001,10.68167,3.706603,6.564502,3.5355190000000003,2.498987,9.195336
14,324.74149700000004,5.857189,NA,0.201229,2.68945,0.968891,10.848144,5.830696,4.267874,9.103352000000001,5.413492,0.671719,6.958772
15,104.211876,4.180105,3.606558,0.11367200000000001,3.5965279999999997,0.965477,3.7155199999999997,4.393669,3.8274980000000003,1.612835,2.252542,1.6977970000000002,9.081227
16,586.085005,4.915763,2.780132,0.23378400000000002,3.4170480000000003,0.9864209999999999,6.514817,8.370916000000001,5.577826,13.100391,5.5051760000000005,11.166922,7.336567999999999
17,633.215498,6.091057,0.975878,0.29741599999999996,3.795228,0.98311,16.272584,3.074183,4.799039,NA,NA,7.122149,9.292997
18,188.305253,4.60536,1.9487,NA,3.527672,0.9620139999999999,4.127549,6.6808380000000005,5.393436,4.400418,5.5212639999999995,NA,7.624523
19,975.8818029999999,5.083915,2.780726,0.186329,4.02679,0.9765379999999999,8.157397,NA,NA,7.639632000000001,NA,16.733971,8.267767
20,646.081394,4.734942,2.79398,0.275223,3.460461,0.9836309999999999,3.041291,10.529903,4.209732,1.125679,6.638511,NA,7.846779
21,386.685627,5.743468,1.8102060000000002,0.345138,4.065511,0.96873,0.221496,4.937614,5.038171,9.892545,1.500448,11.164242999999999,7.30435
22,303.468593,5.2672989999999995,0.144616,0.312633,3.7463550000000003,0.974075,4.631848000000001,4.488685,4.863012,1.331373,NA,9.254537,9.022745
23,368.38593,2.763191,NA,0.198696,3.5081239999999996,1.000508,NA,NA,3.2200159999999998,5.131872,4.687594,10.185658,NA
24,451.31040099999996,3.9692519999999996,4.407782,0.149788,3.506043,0.964036,13.286012,7.7139809999999995,4.865328,7.183836,2.5671880000000002,NA,7.787244
25,107.364172,4.483059,0.764,0.24153400000000003,3.6545400000000003,0.980305,3.454518,0.5719609999999999,4.077448,3.9299190000000004,2.9625630000000003,6.900924000000001,6.268018
26,216.046732,3.600858,2.871673,0.360727,3.722436,0.9617370000000001,0.846519,NA,NA,1.589058,5.715555999999999,0.9451309999999999,7.861200999999999
27,345.311366,5.046885,NA,NA,4.052791,0.970086,9.558137,NA,NA,10.716786,9.620443,3.158356,9.070106
28,251.19608599999998,8.620455999999999,4.731481,0.172406,NA,NA,0.63884,7.924900999999999,4.993253,1.391575,4.1551599999999995,3.07943,9.156350999999999
29,321.851923,4.877577,NA,0.184613,3.0599790000000002,0.9884620000000001,3.634368,9.653866,5.155542,1.1727299999999998,4.19592,1.660074,8.535081
30,186.147917,3.88225,5.788437999999999,0.17795899999999998,4.176883999999999,0.972434,7.465841,5.398077,4.883513,5.429061,5.666081,3.415621,8.744589
31,528.975538,3.717207,4.51935,0.14008099999999998,3.587271,0.971518,14.838707999999999,3.60109,7.392011999999999,3.6896370000000003,0.532713,4.485579,7.864215
32,544.470894,1.9544650000000001,2.171461,0.3155,3.130275,0.9876510000000001,1.917497,6.561411,5.345691,7.885434,0.9700030000000001,12.623646,9.238707000000002
33,215.95397400000002,1.050443,3.5245699999999998,0.315151,4.057524,NA,3.7835699999999997,5.823755,5.306433999999999,3.4665489999999997,7.453836,6.858785000000001,6.746319000000001
34,417.523848,NA,0.55684,0.284001,4.279641000000001,0.9698469999999999,7.937803999999999,5.539046,3.249473,7.291191,NA,9.147216,7.644454
35,454.993288,6.359819,5.942997,0.31012199999999995,2.841627,0.996734,3.7063300000000003,8.129551,4.094317,5.787748000000001,5.800783999999999,11.001267,6.164771
36,585.264395,4.149056,1.039209,0.114222,3.534562,0.9918450000000001,11.601636,11.757133999999999,NA,NA,0.9699120000000001,1.376724,8.794806
37,317.168514,2.665838,NA,0.227823,4.022887,0.9723200000000001,5.947793,6.537814,5.237179,5.713458999999999,NA,10.999511,8.220402
